title,tags
基于图像识别理论的智能交通系统关键技术研究,camera calibration; BP神经网络; BP neural networks; fractal dimension; hidden markov features; intelligent parking; SVM; vehicle identification; vehicle license plate recognition; 分形维数; 摄像机标定; 智能泊车; 车牌识别; 车辆识别; 隐马尔科夫特征
智能视频监控中的运动目标检测与跟踪技术研究,智能视频监控; Intelligent Video Survellance; Moving Object Detection; Moving Object Tracking; Scene Motion Pattern; 场景运动模式; 运动目标检测; 运动目标跟踪
移动群智感知网络中数据收集与激励机制研究,cooperative sensing; coverage analysis; data collection; incentive mechanism; Mobile crowd sensing; opportunistic transmission; 协作感知; 数据收集; 机会传输; 激励机制; 移动群智感知; 覆盖分析
基于深度学习的变压器故障诊断技术研究,深度学习; deep learning; 深度信念网络; fault diagnosis; 故障诊断; deep auto-encoder networks; deep belief networks; DGA; power transformer; 深度自编码网络; 电力变压器
基于微服务架构的SaaS应用构建方法研究,High availability; Load balancing; Microservices architecture; SaaS application; SaaS应用; 微服务架构; 负载均衡; 高可用性
K-means聚类算法的改进研究,聚类分析; Clustering Analysis; Density of samples; Initial Clustering Centers; K-means Algorithm; k-means算法; Optimal Clustering Number; 最佳聚类数; 初始聚类中心; 样本密度
机器视觉在工业机器人抓取技术中的应用,机器视觉; Circumscribed rectangle; Contour detection; Coordinate transformation; Machine Vision; Workpiece positioning; 坐标转换; 外接矩形; 工件定位; 轮廓检测
基于密度的层次聚类算法研究,clustering; 聚类; closeness; decision graph; density; density peaks; distance form points of higher; hierarchical clustering; k-nearest neighbor graph; similarity; 密度; 密度极值k近邻图; 层次聚类; 相似性; 高密度距离
一种基于面向方面的可信软件非功能需求设计与评估方法,软件工程; aspect oriented; non-functional requirements; software engineering; software quality; software requirements; 软件质量; 软件需求; 非功能需求; 面向方面
大规模图上的最短路径问题研究,算法; Algorithm; 并行计算; kNN; Lower Bound; OpenCL; Parallel Computing; Pre-Computation; Shortest Path Problem; κNN; 下界; 最短路径问题; 预处理
基于深度学习的人脸识别技术研究,卷积神经网络; 人脸识别; compound feature; convolution neural networks; deep multi-model fusion; deep neural network; face recognition; 深度多模型融合; 深度神经网络; 组合特征
数据挖掘算法优化研究与应用,数据挖掘; Decision tree; 决策树; 增量学习; Data Mining; Classification algorithm; Incermental; learning; 分类算法
基于Kinect深度信息的手势识别,depth data; dynamic programming; finger detection; gesture recognition; Human-computer interaction; Skeletal tracking; 人机交互; 动态规划; 手势识别; 手指检测; 深度信息; 骨骼追踪
基于时间序列模型的短时交通流预测的研究与应用,Data Pre-processing; Intelligent Transportation System; Time Series Model; Traffic Flow Forecast; 交通流预测; 数据预处理; 时间序列; 智能交通
真实感三维模型的纹理映射技术研究与实现,growing; plane projection; region; regional texture mapping; texture coordinate; texture mapping; triangular mesh model; 三角网格模型; 区域增长; 局部纹理映射; 平面投影; 纹理坐标; 纹理映射
改进蚁群算法在机器人路径规划上的应用研究,移动机器人; 路径规划; Complex environment; Improved ant colony algorithm; Mobile robot; Multi-objective programming; Path planning; 复杂环境; 多目标规划; 改进蚁群算法
基于高分二号遥感影像面向对象的城市房屋信息提取方法研究,面向对象; CART Decision Tree; CART决策树; Fuzzy Classification; GF-2; Multi-scale segmentation; Object-oriented; 多尺度分割; 模糊分类; 高分二号
面向Web2.0的web应用前端开发框架的设计与实现,framework; front-end development of web applications; generic development; webpage optimization; web前端开发; 通用框架; 页面优化
基于位置社交网络的个性化地点推荐算法研究,Collaborative Filtering; Influence; Location-Based Social Networks; Naive Bayesian; Social; 协同过滤算法; 基于位置的社交网络; 朴素贝叶斯分类; 社交影响
基于NoSQL的大数据处理的研究,MongoDB; NoSQL; 大数据; MapReduce; Big Data
综合过采样和欠采样的不平衡数据集的学习研究,机器学习; Ensemble Learning; 集成学习; Imbalanced Data; Machine Learning; Resampling; 不平衡数据; 重采样
互联网评论文本情感分析研究,机器学习; 情感词典; sentiment analysis; 情感分析; machine learning; pointwise mutual information; sentiment lexicon; 点互信息
融合多源信息的推荐算法研究,BPR Metric; BPR标准; Coupled Object Similarity; Matrix Factorization; Recommender Systems; User Social Status; 推荐算法; 用户社会地位; 矩阵分解; 耦合对象相似度
文本分类关键技术及应用研究,Feature selection; 特征选择; Text classification; 文本分类; Active learning; Gender classification; Query intent identification; Spam classification; User interest; 主动学习; 垃圾邮件分类; 性别分类; 查询意图识别; 用户兴趣
多智能体网络的一致性问题研究,复杂网络; Complex Networks; Consensus; Group Consensus; Multi-agent networks; Pinning Control; 一致性; 分组一致性; 多智能体网络; 牵制控制
云环境下大数据服务及其关键技术研究,大数据服务; 云计算; big data service; big medical  data; cloud computing; credible service optimization; 医疗大数据; 可信组合评估
车联网中面向安全应用的消息传输问题研究,MAC protocol; MAC协议; Power control; Relay; Routing protocol; selection; Simulator; Vehicular ad-hoc network; 中继选择; 功率控制; 模拟器; 消息传输; 车联网
基于遗传算法优化的BP神经网络股票价格预测,遗传算法; BP神经网络; Genetic Algorithm; BP Neural Network; Nonlinear Dynamical System; Stock Prediction; 股票预测; 非线性动力系统
基于unity3D的虚拟现实技术在中学物理教学中的应用研究,3ds Max; high school physics; unity3d; virtual reality; 中学物理; 虚拟现实
聚类分析和关联规则技术在成绩分析中的研究及应用,Algorithm; 关联规则; 聚类分析; Clustering Analysis; Achievement Analysis; Apriori; Apriori算法; Association Rules; K-Means Algorithm; K-Means算法; 成绩分析
图像去噪中几种优化算法的相关研究,图像去噪; image denoising; mixed quasi-variational inequality; noise detection; regularization; variational method; 变分法; 噪声检测; 正则化; 混合拟变分不等式
无线传感器网络节能策略的研究,无线传感器网络; Delay-tolerant; Energy-efficient; Network-lifetime; Role-member realationship; Sink; WSN; 延迟容忍; 汇聚节点; 网络生命周期; 节能; 角色成员关系
基于攻击图的网络安全风险评估技术研究,Attack Graphs; Hardening; Network Security; Risk Assessment; 加固; 攻击图; 网络安全; 风险评估
基于Elasticsearch的分布式智能搜索引擎的研究与实现,distributed search engine; Elastic search; Elasticsearch; intelligent recommendation; new words discovery; vertical search; 分布式搜索引擎; 垂直搜索; 新词发现; 智能推荐
数据可视化探索系统的设计和实现,Data Visualization; Diagrams; Exploratory Analysis; 图表; 探索分析; 数据可视化
高可用可扩展集群化Redis设计与实现,Clustering; K-V Storage; K-V存储; Proxy; Redis; 集群化
基于云计算的物联网技术研究,云计算; Cloud computing; 物联网; Cloud platform; Intelligent water management; Network security protection; system; The Internet of things; 云平台; 智能化水资源管理系统; 网络安全防护
基于计算机视觉和深度学习的自动驾驶方法研究,深度学习; computer vision; deep learning; 卷积神经网络; convolution neural network; 计算机视觉; autonomous driving; pre-training; 自动驾驶; 预训练
基于word2vec词向量的文本分类研究,文本分类; 文本表示; text classification; text representation; Distance measurement; Word2vec model; Word2vec模型; 距离度量
基于神经网络的移动机器人路径规划方法研究,神经网络; 机器人; neural network; path planning; 路径规划; 粒子群算法; particle swarm optimization(PSO)algorithm; robot
基于Spark平台的协同过滤推荐算法的研究与实现,Collaborative Filtering; Spark; Hadoop; Slope One; similarity algorithm; Slope One算法; 协同过滤推荐; 相似度算法
基于规则和条件随机场的中文命名实体识别方法研究,条件随机场; 命名实体识别; conditional random fields; named entity recognition; feature template; rules; 特征模板; 规则
基于g2o的SLAM后端优化算法研究,SLAM; Back-end Optimization; Filter; Least Squares; Loop Closure Constraints; 最小二乘法; 后端优化; 滤波; 闭环约束
两种改进的彩色图像灰度化算法研究,optimization; color; Color to gray transformation; consistency; contrast preservation; energy; grayscale pixel characteristic preservation; 对比度保持; 彩色图像灰度化; 灰度像素特征保持; 能量优化; 颜色一致性
自主移动机器人路径规划的RRT算法研究,mobile robot; path planning; 移动机器人; 路径规划; bidirectional rapidly-exploring random trees; rapidly-exploring random tree (RRT); rrt-concon algorithm; RRT-ConCon算法; 双向快速扩展随机树; 快速扩展随机树(RRT)
基于随机森林的视觉数据分类关键技术研究,集成学习; 决策树; 随机森林; random forest; decsision tree; enasemble learning; pattern classification; visual data; 模式分类; 视觉数据
基于深度学习的跨模态检索研究,深度学习; deep learning; 受限玻尔兹曼机; 自编码; restricted Boltzmann machine; autoencoder; cross-modal retrieval; 跨模态检索
汉语篇章结构表示体系及资源构建研究,Clause; Connective; Corpus; Discourse parsing; Discourse relation; 子句; 篇章关系; 篇章结构分析; 语料库; 连接依存树
复杂网络社区发现若干问题研究,复杂网络; 聚类; Clustering; 社区发现; Modularity; Community detection; centrality; Cluster prototype; Complex network; nity; Overlapping commu-; Q function; Rank; Resolution limit; Similarity matrix; 分辨率; 模块化Q函数; 模块性; 相似度矩阵; 类原型; 节点中心度; 重叠社区
车辆主动安全中关于车辆检测与跟踪算法的若干研究,粒子滤波; theory; Particle filter; 车辆检测; 车辆跟踪; D-S证据理论; Choquet Integral; Choquet积分; D-S evidence; Intelligent vehicle; MCRP; Vehicle detection; Vehicle tracking; 智能车
FPGA低功耗设计相关技术研究,FPGA; 低功耗; access memory; Field programmable gate array; Finite state machine; Low power; Multiplexer; Register files; SRAM; Static random; 多路选择器; 寄存器堆; 有限状态机
基于深度神经网络的微博短文本情感分析研究,深度学习; Deep Learning; 情感分析; 情感分类; 微博短文本; Analysis Of The Emotion; Emotion Classification; Evaluation Object Extraction; Microblog Short Text; 评价对象抽取
基于出租车轨迹的居民出行热点路径和区域挖掘,可视化; visualization; 轨迹聚类; Residents trip; taxi trajectory; trajectory clustering; trajectroy compression; 出租车轨迹; 居民出行; 轨迹压缩
基于脑电信号样本熵的情感识别,特征提取; support vector machine(SVM); 支持向量机; feature extraction; ElectroEncephaloGram(EEG); emotion recognition; sample entropy; 情感识别; 样本熵; 脑电信号
朴素贝叶斯分类模型的改进研究,Naive Bayes Classification Model; Validity of Double Attributes; Validity of Single Attribute; 单属性有效度; 双属性有效度; 朴素贝叶斯分类模型
物联网环境下信息融合基础理论与关键技术研究,体系结构; 粗糙集; 物联网; Architecture; 信息融合; Rough Set; Information Fusion; Heterogeneous; High Dimensional Attributes; Multi-sources; Positive Approximation; The Internet of things (IoT); 多源异构; 正近似; 高属性维度
计算机网络防御策略求精关键技术研究,Computer Network Defense; Description Logic; Mobile Ad Hoc Network; Policy Refinement; Semantic Consistency; 描述逻辑; 移动Ad Hoc网络; 策略求精; 计算机网络防御; 语义一致性
云计算环境中访问控制的机制和关键技术研究,云计算; security model; 安全模型; attribute-based; cloud access control; Cloud compting; encryption; fine-grained access control; mobile Cloud Computing; 云访问控制; 属性加密; 移动云计算; 细粒度访问
基于博弈论的云计算资源调度方法研究,博弈论; Cloud Computing; 云计算; 资源调度; 容器; QoS; 服务质量; Container; Resource Scheduling; Cloud Federation; Fair Allocation; Game Theory; Resource Utilization; Stable Matching; 云联盟; 公平分配; 稳定匹配; 资源利用率
用户画像在内容推送的研究与应用,用户画像; User Profile; DNN; Mobile Data; Personalized Push Service; SVM Algorithm; SVM算法; 个性化推送; 移动数据
深度学习中的自编码器的表达能力研究,深度学习; Deep learning; dimensionality reduction; representation transformation; single-layer auto-encoder; 单层自编码器; 数据降维; 表达转换
基于时间效应和用户兴趣变化的改进推荐算法研究,collaborative filtering; 协同过滤; 图模型; 随机游走; forgotten laws; graph-based model; path fusion; random walk; 路径融合; 遗忘规律
基于空间聚类和Weka平台的出租车载客热点区域挖掘研究,pick-up hotspots; R-FDBSCAN; R-FDBSCAN算法; spatial clustering; taxi dispatching scheme; Weka; 出租车调度; 空间聚类; 载客热点区域
不均衡数据分类方法的研究,数据挖掘; Data mining; 重采样; Classification algorithm; 分类算法; Imbalanced data; Cost sensitive learning; Ensemble classification; Lung nodule computer aided detection; Re-sampling; 不均衡数据; 代价敏感学习; 肺结节计算机辅助检测; 集成分类
无线可充电传感器网络中充电规划及其可调度性研究,charging programming; energy problem; mobile charger; schedulability; wireless rechargeable sensor networks; 充电规划; 可调度性; 无线可充电传感器网络; 移动充电节点; 能量问题
基于分解的多目标进化算法及其应用,Decomposition-Based Multi-Objective Evolutionary Algorithms; Flexible Job Shop Scheduling; Many-Objective Optimization; Memetic Algorithms; Variation Operators; 变化算子; 基于分解的多目标进化算法; 柔性作业车间调度; 模因演算法; 高维多目标优化
非线性不确定系统的神经网络控制研究,神经网络; neural network; 非线性系统; adaptive control; BP learning algorithm; BP学习算法; neural inverse control; nonlinear control; Nonlinear system; receding horizon optimization technology; 滚动时域优化技术; 神经网络逆控制; 自适应控制; 非线性控制
基于位置社交网络的数据挖掘,Location naming; Location Prediction; Location Recommendation; Location-based Social Network; 位置命名; 位置推荐; 位置社交网络; 位置预测
基于深度学习的图像目标定位识别研究,深度学习; deep learning; 卷积神经网络; 图像识别; image recognition; convolutional neural network
Spark Shuffle的内存调度算法分析及优化,Spark; Memory Scheduling; Shuffle; Spill History; Spill-based; 内存调度; 溢出历史
基于卷积神经网络的车脸识别研究,卷积神经网络; convolution neural network; Car face image database; car face recognition; constrained local model; 约束局部模型; 车脸数据库; 车脸识别
基于webGL的交互绘制应用研究,Data Visualization; 数据可视化; webGL; Application Framework; Interactive Rendering; Material Editting; 交互绘制; 应用框架; 材质编辑
TF-IDF与规则结合的中文关键词自动抽取研究,Candidate word selection; Keyword Etraction; TF-IDF; Unknown word recogition; 候选词抽取; 关键词抽取; 未登录词识别
基于卷积神经网络的行为识别研究,卷积神经网络; convolutional neural network; action recognition; 行为识别; Gabor滤波器; Gabor filter; KTH database; KTH数据库
基于HBase的空间数据分布式存储和并行查询算法研究,MapReduce; HBase Schema; HBase表模式; Index; K-nearest neighbor query; K近邻查询; Region query; 区域查询; 索引
深度学习在计算机视觉领域的若干关键技术研究,深度学习; 神经网络; 迁移学习; Deep learning; 计算机视觉; Transfer learning; Computer vision; Deep neural network; Preference learning; 偏好学习
云计算负载均衡策略的研究,Cloud Computing; 云计算; 副本; 负载均衡; 资源调度; Hadoop; 云存储; Cloud Storage; Load Balancing; Virtual Machine Migration; 虚拟机迁移; Replica; Resource Scheduling
基于农业生产过程的农业物联网数据处理若干关键技术的研究,数据处理; Agriculture Internet of Things; data processing; Elman; elman预测模型; forecasting model; hierarchical case-based reasoning decision; Knowledge of multi class agricultural processing; workflow access control; 农业物联网; 分层案例推理决策; 多类别农业知识处理; 工作流访问控制
基于深度学习的气象预测研究,深度学习; Deep Learning; LSTM; RNN; 时间序列; Fine forecast; Tensor Flow; Times series; 循环神经网络; 精细化预测; 长时记忆网络
基于神经网络的电力负荷预测研究与实现,预测; 循环神经网络; feed-forward neural networks; forecasting; power load; recurrent neural networks; serial incremental ratio; 前馈网络; 序列增量比; 电力负荷
基于用户行为分析和混合推荐策略的个性化推荐方法研究,Collaborative Filtering; 用户行为分析; Recommendation Algorithm; 数据预处理; User Behavior Analysis; Hybrid; Recommendation; 混合推荐; 协同过滤推荐算法; Content–based Recommendation Algorithm; Data Preprocess; 基于内容的推荐算法
基于工业控制网络的流量异常检测,ARIMA; industrial control network; multiple seasonal; Stuxnet attack; Stuxnet攻击; traffic characteristics; 乘积季节ARIMA; 工业控制网络; 流量特性
面向海量轨迹数据的聚类算法研究,clustering; trajectory; 轨迹聚类; processing; real-time trajectory; spatiotemporal data mining; spatiotemporal data processing; trajectory clusters updating; trajectory division; 实时轨迹处理; 时空数据处理; 时空数据挖掘; 轨迹划分; 轨迹簇更新
基于蝙蝠算法的启发式智能优化研究与应用,多目标优化; 算法融合; Algorithm fusion; Bat algorithm; Knowledge learning; Multi-objective optimization; Swarm intelligence; 知识学习; 群体智能; 蝙蝠算法
纹理图像特征提取与分类研究,特征提取; classification; 分类; optimization; 优化; texture; 纹理; feature extraction; primal-dual interior-point method; 原对偶内点法
非均衡数据分类算法若干应用研究,Ensemble Learning; 集成学习; Activated sludge classification; Imbalanced data; quality assessment model; Water; 水质评估模型; 活性污泥分类; 非均衡数据
H.265/HEVC编码加速算法研究,图像处理; Image Processing; High Efficiency Video Coding; ing; Inter Coding; Intra Coding; Parallel Cod-; 帧内编码; 帧间编码; 并行编码; 高效视频编码
基于局部特征和进化算法的人脸识别,PSO; 人脸识别; 粒子群优化算法; 人脸检测; Face recognition; SFLA; 混合蛙跳算法; 局部特征; Evolutionary algorithm; 进化算法; Face detection; Local feature; MEA; 思维进化算法
基于RBF神经网络的PID自校正控制研究及应用,RBF神经网络; artificial crystal; nonlinear system; PID self-turning control; PID自校正控制; RBF neural network; 人工晶体; 非线性系统
基于循环神经网络的轨迹位置预测技术研究,Recurrent Neural Network; 循环神经网络; Landmark Extraction; Trajectory Prediction; 轨迹位置预测; 重要位置提取
基于RGB-D的SLAM算法研究,Kinect; SLAM; Algorithm Improvement; RGB-D SLAM; 算法改进
基于语义的文本相似度算法研究及应用,POS space definition; semantic unit division; semantic weight definition; term; text similarity algorithm; 关键词语义权值定; 文本相似度算法; 词性空间定义; 语义单元划分
基于机器学习的中文文本主题分类及情感分类研究,互信息; 文本分类; text classification; 情感分类; 特征融合; classifier combination; key sentence; mutual information; sentiment sentence; 关键句; 情感句
Android环境下恶意软件静态检测方法研究,Ensemble Learning; 集成学习; Feature Selection; Neural Network; Android Malware; Android恶意软件; Probabilistic; 概率神经网络; 特征选取
迁移学习在图像分类中的应用研究,transfer learning; 迁移学习; 流形学习; manifold learning; domain adaption; feature mapping; maximum mean discrepancy; 最大均值差异; 域自适应; 特征映射
组合预测方法及其应用研究,深度学习; 神经网络; Neural network; Deep learning; 组合预测方法; Combining forecasting model; Timefrequency analysis; 时频分析
基于群智能优化的机器学习方法研究及应用,机器学习; 支持向量机; machine learning; 随机森林; support vector machine; Random forest; intelligent decision making in agricultural production; kernel extreme learning machine; swarm intelligence optimization; 农业智能决策; 核极限学习机; 群智能优化
基于主题模型的社交网络用户画像分析方法,社交网络; Social Network; User Profiling; 主题模型; 用户画像; Topic Model
众包环境下的任务分配技术研究,任务分配; Crowdsourcing; Greedy Algorithm; Multi-Armed Bandits; Pricing Mechanism; Task Allocation; 众包; 多臂赌博机; 定价机制设计; 贪婪算法
多无人机系统的协同目标分配和航迹规划方法研究,差分进化; Cooperative paths planning; Differential evoluation; MUAS; Multi-target assignment; Path re-planning; Three dimensional space; 三维空间; 协同航迹规划; 多无人机系统; 多目标分配; 航迹重规划
基于递归神经网络的生物医学命名实体识别,词向量; 命名实体识别; Word Embedding; Recurrent Neural Network; 递归神经网络; Long Short-Term Memory; Named Entities Recognition; Sentence Vector; 句子向量; 长短时记忆
个性化推荐中协同过滤算法研究,个性化推荐; 协同过滤; Collaborative Filtering; Personalized Recommendation; Interest Migration; Slope One; Sparse Matrix; 兴趣迁移; 稀疏矩阵
基于机器学习的智能家居系统设计与实现,机器学习; TensorFlow; Machine Learning; 智能家居; Smart Home; ReLu; FNN; Predictor System; Re Lu; 前反馈神经网络; 预测系统
物联网大数据存储与管理技术研究,分布式文件系统; Distributed file system; Big data; Cube; Data retrivel; Energy efficient tasks scheduling; 数据检索; 数据立方体; 物联网大数据; 节能任务调度
基于混合模型的股票趋势预测方法研究,股票预测; 循环神经网络; arima model; ARIMA模型; long short-term memory network; recurrent neural network; stock forecasting; time series processing; 时序处理; 长短时记忆网络
C4.5决策树算法优化及其应用,PCA; C4.5 algorithm; C4.5算法; dependency for attributes; GINI index; GINI指数; Taylor series; 属性依赖度; 泰勒级数
高铁动车组故障预测与健康管理关键技术的研究,Particle Swarm Optimization; 粒子群算法; Based on the State of Repair; Failure Prediction; Half Hidden Markov Hodel; PHM; 故障预测; 状态修; 隐半马尔科夫模型
基于情感词典与句型分类的中文微博情感分析研究,情感词典; sentiment analysis; 情感分析; 中文微博; Chinese Micro Blog; emotional dictionary; sentence classification; 句型分类
时间序列分类算法研究,时间序列; Time series; Associative classification; Interpretable; k近邻; Shapelets transformation; Shapelets转换; Time series classification; κ-nearest neighbours; 关联式分类; 可解释性; 时间序列分类
大数据环境下隐私保护及其关键技术研究,大数据; 博弈论; 隐私保护; game theory; big data; location-based service; privacy protection; privacy risk control; 基于位置服务; 隐私风险控制
面向医学数据的随机森林特征选择及分类方法研究,特征选择; 支持向量机; feature selection; 随机森林; support vector machine; random forest; data mining in medicin; micro-array expression data analysis; 医学数据挖掘; 微阵列表达数据分析
深度学习在回归预测中的研究及应用,深度学习; deep learning; hyper parameter optimization; prediction and forecast; supervised learning; wheat aphid; 小麦蚜虫; 有监督学习; 超参数优化; 预测预报
Kubernetes跨集群管理的设计与实现,Cloud Computing; 云计算; Cross Cluster; Kubernetes; 跨集群
基于强化学习的开放领域聊天机器人对话生成算法,深度学习; deep learning; sentiment analysis; 情感分析; chatbot; dialog generation; reinforcement learning; 对话生成; 强化学习; 聊天机器人
多阈值OTSU快速算法的研究,fast algorithm; 快速算法; Image segmentation; 图像分割; linear algorithm; multi threshold; Otsu; Otsu criterion; Otsu准则; 多阈值; 线性算法
基于决策树C4.5算法剪枝策略的改进研究,数据挖掘; Decision tree; 决策树; C4.5 algorithm; C4.5算法; Date mining; Pruning strategy; 剪枝策略
面向复杂环境的鲁棒高效的三维注册与结构恢复,feature tracking; 特征跟踪; structure from motion; simultaneous localization and mapping; augmented reality; bundle ad-justment; camera tracking; 同时定位与地图构建; 增强现实; 摄像机跟踪; 运动恢复结构; 集束调整
基于校园大数据的学生行为分析与预测方法研究,大数据; 聚类分析; K-means; Cluster Analysis; Bigdata; Prediction and early warning; Spark platform; Spark平台; 预测与预警
基于Redis的结构化数据缓存系统的设计与实现,cache; 缓存; 结构化数据; cache hit rate; replacement algorithm; Structured data; 替换算法; 缓存命中率
基于Kubernetes的资源动态调度的研究与实现,云计算; 资源调度; Docker; 容器; cloud computing; resource scheduling; Kubernetes; Container
基于AlexNet融合特征的图像检索研究,深度学习; Deep Learning; 特征提取; 特征降维; 图像检索; feature extraction; feature dimension reduction; fusion feature; Image retrieval; 融合特征
关联规则挖掘中Apriori算法的研究,Apriori算法; Hadoop; Apriori Algorithm; Association Rule Mining; FP-tree; Mapping; 关联规则挖掘; 映射; 频繁模式树FP-tree
狼群算法的研究与应用,多目标优化; multi-objective optimization; multimodal optimization; single objective optimization; UAV trajectory planning; wolf colony algorithm; 单目标优化; 多峰优化; 无人机航迹规划; 狼群算法
基于深度学习的植物叶片识别算法研究,深度学习; deep learning; 卷积神经网络; 特征提取; CNN; feature extraction; foliage plant; leaf image; 叶片图像; 植物识别
基于机器学习的时间序列预测方法研究与应用,机器学习; machine learning; 时间序列预测; combination forecasting method; hybrid forecasting method; time series forecasting; 混合预测方法; 组合预测方法
基于深度机器学习的体态与手势感知计算关键技术研究,Deep Learning; 半监督学习; Semi-supervised Learning; Domain Adaptation; Human Pose Estimation; Perceptual Computing; Surface Elec-tromyography; 人体姿态估计; 感知计算; 深度机器学习; 表面肌电图; 领域自适应
固定翼无人机地面车辆目标自动检测与跟踪,机器学习; 神经网络; neural network; machine learning; ARM; 无人机; UAV; detection and tracking; small target; target properties; 小目标; 检测与跟踪; 目标特性
基于卷积神经网络的人脸年龄估计算法,机器学习; 卷积神经网络; 迁移学习; Transfer Learning; 图像增强; Machine Learning; Convolution Neural Networks; Image Data Augmentation
基于深度学习和迁移学习的环境声音识别,深度学习; deep learning; transfer learning; 迁移学习; feature fusion; 特征融合; ESR; 环境声音识别
3D打印设计与个性化制造技术,3D food printing; 3D printing; 3D打印; 3D食品打印; path optimization; portrait image reshaping; roly-poly toys design; sensitivity analysis; shell element simulation; 不倒翁设计; 人脸胖瘦调整; 壳单元有限元仿真; 打印路径优化; 灵敏度分析
复杂网络中社区发现算法研究,复杂网络; 蚁群算法; 多目标优化; 社区发现; Multi-objective optimization; Ant colony algorithm; Biogeography optimization; Community detection; Complex networks; Cuckoo search optimization; Density based link clustering; 密度聚类; 布谷鸟算法; 生物地理优化算法
中医健康知识图谱的构建研究,本体; 信息抽取; Ontology; Entity alignment; Information extraction; Jena; Protege; Schema; Semantic network; TCM knowledge graph; 中医知识图谱; 实体对齐; 相关性分析; 语义网络
基于长短时记忆网络的多标签文本分类,Hierarchical Long Short-Term Memory; Label Ranking; Label Tree; Multi-label Text Classification; Optimal Path Searching; 最优路径搜索; 多标签文本分类; 层次化长短时记忆网络; 标签树; 标签置信度排序
决策树C4.5算法的改进与应用,数据挖掘; Data mining; Spark; C4.5 algorithm; C4.5算法; classification analysis; off-line warning; 分类分析; 离网预警
带精英策略的非支配排序遗传算法优化研究,模拟退火算法; Adaptive strategy; Global search; Local search; NSGA-II; Simulated annealing algorithm; 全局搜索; 局部搜索; 适应性策略
基于深度学习的文本情感分析研究,深度学习; convolutional neural networks; deep learning; 卷积神经网络; sentiment analysis; 情感分析; 循环神经网络; recurrent neural networks
基于深度学习的自然语言句法分析研究,深度学习; 自然语言处理; Deep Learning; Natural Language Processing; Dependency Parsing; 依存句法分析; Constituent Parsing; Long Short-Term Memory-II-; 短语结构分析; 长短期记忆神经网络
微博文本情感分类研究,深度学习; 情感词典; Deep learning; LSTM; Emotion Dictionary; Microblog Text Sentiment Classification; PMI-IR; 微博文本情感分类
基于大规模电商数据的用户消费行为分析方法研究,neural network; 人工神经网络; Spark; Hadoop; Consumer behavior; Na?ve Bayesian; 朴素贝叶斯方法; 用户消费行为分析
基于云平台的多供应链协同技术研究,云平台; adaptive evolution; cloud platform; custom technology; dynamic evaluation; industry supply chain; information integration; 产业供应链; 信息集成; 动态评价; 定制技术; 自适应演化
基于BP神经网络的时间序列预测研究,Genetic algorithm; 遗传算法; BP neural network; BP神经网络; MapReduce; 时间序列; Map Reduce; Time series
基于深度学习的主题建模方法研究,深度学习; deep learning; word embedding; bi-directional LSTM; neural topic model; semantic reinforcement; 双向LSTM; 神经网络主题模型; 词嵌入; 语义强化
MOOC中的学习行为挖掘研究,聚类分析; Clustering analysis; 关联分析; Correlation analysis; Learning behavior; Learning style; MOOC学习行为; 学习风格
基于改进的帧差法和背景差法实现运动目标检测,帧差法; 运动目标检测; Background difference method; Edge detection algorithm; Frame difference method; Gaussian mixture model; Moving object detection; 背景差分法; 边缘检测算法; 高斯混合模型
基于Unity3D的多平台虚拟仿真关键技术研究,Unity3D; interactive; memory consumption; render consumption; special effects; three-dimensional simulation; 三维仿真; 交互性; 内存消耗; 渲染消耗; 特效
深度卷积神经网络及其在手写体汉字识别中的应用研究,深度学习; deep learning; 深度卷积神经网络; deep convolutional neural network; handwritten Chinese character; receptive field; 感受野; 手写体汉字识别
深度学习算法研究及其在图像分类上的应用,深度学习; deep learning; 图像分类; Image Classification; 受限玻尔兹曼机; adaptive learning rate; alternative iteration; restricted Boltzmann machine; 交替迭代; 自适应学习率
基于SDN的数据中心网络流量调度与负载均衡研究,负载均衡; Load Balancing; 数据中心网络; 软件定义网络; Data Center Network; Software Defined Network; Traffic Engineering; Traffic Scheduling; 流量工程; 流量调度
沉浸式虚拟现实中人机交互关键技术研究,virtual reality; 虚拟现实; gesture recognition; 人机交互; 手势识别; 3DUI; human-computer interaction
基于内容的推荐与协同过滤融合的新闻推荐研究,collaborative filtering; 协同过滤; 基于内容的推荐; 用户兴趣模型; 混合推荐; news recommendation; 新闻推荐; content-based recommendation; hybrid recommendation; user interest model
基于激光扫描的三维点云数据处理技术研究,法向量估计; 特征保持; curve skeleton; feature preserving; gauss map; large scale point cloud; normal estimation; object extraction; simplification; 大场景点云; 曲线骨骼; 点云简化; 目标提取; 高斯映射
基于SVM的网络流量特征降维与分类方法研究,特征提取; 粒子群优化算法; 特征选择; SVM; feature selection; feature extraction; 参数优化; bacterial foraging optimization algorithm; Network traffic classification; parameter optimization; particle swarm optimization algorithm; search strategy; 搜索策略; 细菌觅食优化算法; 网络流量分类
社会网络中的节点影响力度量和k-节点集的影响力最大化问题研究,社会网络; Influence Maximization; Influence Measurement; Information Diffusion; Social network; Spreading Probability; 传播概率; 信息传播; 影响力最大化; 影响力度量
